,ingredient,name,url
171,sliced unblanched almonds,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
172,reserved beet cooking liquid,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
173,sherry vinegar,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
174,brown sugar,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
175,sea or kosher salt,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
176,olive oil,cumin-rubbed steak and roasted root vegetable salad,http://www.beefitswhatsfordinner.com/recipes/recipe/1858/cumin-rubbed-steak-and-roasted-root-vegetable-salad
177,grilled beef steak,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
178,uncooked gemelli or corkscrew pasta,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
179,fresh sugar snap peas,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
180,grape or teardrop tomatoes,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
181,salt and pepper,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
182,fresh grated lemon peel,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
183,fresh lemon juice,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
184,olive oil,steak & sugar snap pea pasta salad,http://www.beefitswhatsfordinner.com/recipes/recipe/2290/steak-sugar-snap-pea-pasta-salad
